prompt,A,B,C,D,E,answer
"Which of the following statements accurately describes the album ""Túwaqachi"" by Bill Laswell, based on the provided Wikipedia excerpt?","""Túwaqachi"" is a soundtrack album composed by Bill Laswell for the 2012 film ""Koyaanisqatsi.""","""Túwaqachi"" is a compilation album that includes music from various films, including ""Koyaanisqatsi.""","""Túwaqachi"" is a live album recorded during a performance featuring the alternative score to the 1982 film ""Koyaanisqatsi.""","""Túwaqachi"" is a documentary film directed by Godfrey Reggio, with the soundtrack composed by Bill Laswell.","""Túwaqachi"" is a collaborative album featuring various artists and was released in 1982.",C
What is Renkum?,A river in the eastern Netherlands that flows through the municipality of Renkum.,A region in the eastern Netherlands known for its scenic landscapes and forests.,A town in the eastern Netherlands with a land area of 45.95 km2 (17.74 sq mi).,A municipality in the eastern Netherlands that is part of the Stadsregio Arnhem-Nijmegen.,"A municipality in the eastern Netherlands with a population of 31,417 in 2021, situated along the river Rhine.",E
What legal action was required to carry out repairs and remediation at St Aidan's nature park in West Yorkshire?,"A petition to the European Union to fund the necessary works, as outlined in the European Communities Act of 1972.","A local council decision to allocate funds for the repairs and remediation, as stipulated in the Local Government Act of 2000.","Approval from the Environmental Protection Agency to ensure compliance with environmental regulations, as stated in the Clean Air Act of 1970.",Partnership agreements with non-profit organizations to secure funding for the repairs and remediation.,"An Act of Parliament specifically created to authorize the required works, as noted in the Wikipedia excerpt.",E
"How does the Kelvin-Helmholtz instability impact the operation of Kawakura Station in Aomori, Japan?",The Kelvin-Helmholtz instability causes frequent disruptions in the train service at Kawakura Station due to strong gusts of wind blowing through the station.,The Kelvin-Helmholtz instability results in the train tracks at Kawakura Station frequently shifting and causing delays in train departures.,The Kelvin-Helmholtz instability has no direct impact on the operation of Kawakura Station; it is located far away from regions affected by this phenomenon.,"The Kelvin-Helmholtz instability generates frequent lightning strikes in the vicinity of Kawakura Station, increasing the risk of electrical failures.","The Kelvin-Helmholtz instability causes the Tsugaru Railway Line passing through Kawakura Station to experience constant oscillations and vibrations, making the train ride uncomfortable for passengers.",C
What is Clement Eustace Macro Wilson best known for?,Being a renowned British archaeologist specializing in ancient civilizations.,Being an English professional cricketer who played for multiple clubs.,Being a British politician who served in Parliament for several decades.,Being an amateur first-class cricketer and clergyman in the Church of England.,Being a prolific author of historical fiction novels set in medieval Europe.,D
What are Marat Grigorian's accomplishments in the world of kickboxing?,Marat Grigorian is a former Bellator Kickboxing Champion and is famous for his aggressive fighting style and submission skills.,Marat Grigorian is a former ONE Championship Lightweight Champion and is currently ranked the #2 lightweight and #4 pound-for-pound kickboxer in the world by Combat Press.,Marat Grigorian is a former K-1 World MAX Champion and holds the record for the most knockouts in the featherweight division.,Marat Grigorian is a former WAKO Pro World Champion in the lightweight division and holds the record for the longest winning streak in kickboxing history.,Marat Grigorian is a former Glory Featherweight Champion and is known for his technical fighting style and KO power.,E
"Who designed the four-story Union Square Savings Bank building, which now houses the Daryl Roth Theatre in Manhattan?",Robert A.M. Stern,Frank Lloyd Wright,Henry Bacon,Zaha Hadid,I.M. Pei,C
Where are water hemlock plants primarily found?,"Temperate regions of the Northern Hemisphere, mainly North America and Europe",Subarctic tundra in Antarctica,Arid deserts in Africa,Tropical rainforests in South America,The Mediterranean region in Europe,A
"What does the term ""plop art"" refer to?",Plop art is a term used to describe art installations that are created using unconventional materials.,Plop art is a term used to describe art installations that are deliberately placed in unexpected locations.,"Plop art is an affectionate term for public art made for government or corporate plazas, spaces in front of office buildings, skyscraper atriums, parks, and other public venues.","Plop art is a pejorative slang term for public art made for government or corporate plazas, spaces in front of office buildings, skyscraper atriums, parks, and other public venues, implying that the work is unattractive or inappropriate to its surroundings.",Plop art is a term used to refer to avant-garde art installations that challenge traditional notions of aesthetics.,D
What is Rasmus Thude known for internationally?,"Rasmus Thude created his first app start-up called ""Ta' det"" and is currently the CEO.",Rasmus Thude enrolled at DTU and studied Processing and Innovation.,"Rasmus Thude's song ""LLL"" was mistakenly believed to be a new single from Justin Timberlake.",Rasmus Thude gained worldwide recognition for his participation in the Danish X Factor.,Rasmus Thude achieved over 20 million plays worldwide for his music.,E
"How many people were found to be living in the unincorporated portions of Allen Township, Ohio, according to the 2000 census?","3,591 people","5,478 people","12, people","8,062 people","3,297 people",E
"Where was the British sitcom ""Trollied"" primarily filmed?",The series was filmed in a fictional supermarket set located in London.,The series was filmed in a purpose-built replica supermarket in the Bottle Yard Studios in Bristol.,"The series was filmed in a real-life supermarket named ""Valco"" in Manchester.","The series was filmed in a studio in Birmingham, using a mixture of practical sets and green screens.",The series was filmed on location in various supermarkets across the United Kingdom.,B
"What is the primary industry or activity of Torregalindo, Spain?","Torregalindo is known for its wine production, with vineyards that cover a significant portion of its land. This industry is important for the economy of the region.","Torregalindo is a prominent center for olive oil production, with numerous olive groves contributing to the town's agricultural sector. This industry is vital for the local economy.","Torregalindo is primarily recognized for its mining activities, with significant mineral deposits being extracted and contributing to the region's prosperity.","Torregalindo has a strong tradition of sheep farming, with ample pasture land and a thriving wool industry. This sector is crucial for the livelihood of the community.","Torregalindo is popular for its artisanal cheese production, with dairy farms boasting high-quality milk from local cattle. This industry plays a significant role in sustaining the local economy.",A
"What is the area of Firovsky District in Tver Oblast, Russia?","The area of Firovsky District is 11,919 (2002 Census).",The area of Firovsky District is 25.9% of the district's total population.,"The area of Firovsky District is 9,396.","The area of Firovsky District is 14,282 (1989 Census).","The area of Firovsky District is 1,836 square kilometers (709 sq mi).",E
Which club does Barry Ryan Bannan currently captain and play for?,Rangers FC,Glasgow Celtic,Heart of Midlothian FC,Sheffield Wednesday,Aberdeen FC,D
What honorific titles did Afonso Augusto da Costa hold during his career?,"Sir, Dame","OBE, CBE","PhD, MD","GCVO, CB","GCTE, GCL",E
Where did Alan Cox begin his radio career?,"Rockford, Illinois","Pittsburgh, Pennsylvania","Chicago, Illinois","Detroit, Michigan","Cleveland, Ohio",A
How many electors did Mississippi voters choose in the 1900 United States presidential election?,Mississippi voters chose twenty electors to the Electoral College.,Mississippi voters chose nine electors to the Electoral College.,Mississippi voters chose five electors to the Electoral College.,Mississippi voters chose fifteen electors to the Electoral College.,Mississippi voters chose forty-five electors to the Electoral College.,B
Where does the Latchmore Brook drain into?,The River Avon north of Ibsley,The elevated gravel plateaus in the north of the Forest,The River Avon south of Ibsley,Fritham,The elevated gravel plateaus in the south of the Forest,A
What is PeaceHealth St. John Medical Center?,PeaceHealth St. John Medical Center is a university medical center specializing in medical research and education.,"PeaceHealth St. John Medical Center is a 256-acre medical campus that offers a wide range of healthcare services including hospital care, outpatient services, and specialized care centers.",PeaceHealth St. John Medical Center is a wellness retreat center offering alternative therapies and holistic healing practices.,PeaceHealth St. John Medical Center is a psychiatric facility dedicated to the treatment of mental health disorders.,"PeaceHealth St. John Medical Center is a 256-bed hospital located in Longview, Washington that provides essential healthcare services to the community. ",E
"What was the reason for David J. ""Okie"" O'Connor's departure from the Massachusetts House of Representatives?",He retired after reaching the maximum term limit.,He resigned due to health issues.,He was convicted of willful failure to file Federal income tax returns.,He was voted out by the members of his party.,He left the House voluntarily to pursue a career in funeral directing.,C
What was Pierre Auguste Cot's artistic style?,Pierre Auguste Cot was a French painter of the Romanticism movement.,Pierre Auguste Cot was a French painter of the Abstract Expressionism movement.,Pierre Auguste Cot was a French painter of the Academic Classicism school.,Pierre Auguste Cot was a French painter of the Baroque movement.,Pierre Auguste Cot was a French painter of the Impressionism movement.,C
"What is the topic of the book ""Malwa Ki Sanskritik Virasat Evam Paryatan"" by Subhash Kumar Sojatia?",The history of tourism in Malwa.,The life of Sonia Gandhi.,The influence of Sonia Gandhi on cultural heritage.,The importance of Sanskrit in Malwa.,The cultural heritage of Malwa.,E
What is Shioiri Station?,"Shioiri Station is a passenger railway station located in the city of Kyoto, Kyoto Prefecture, Japan, operated by the private railway company Keikyū.","Shioiri Station is a passenger railway station located in the city of Kobe, Hyogo Prefecture, Japan, operated by the private railway company Keikyū.","Shioiri Station is a passenger railway station located in the city of Yokosuka, Kanagawa Prefecture, Japan, operated by the private railway company Keikyū.","Shioiri Station is a passenger railway station located in the city of Tokyo, Japan, operated by the private railway company Keikyū.","Shioiri Station is a passenger railway station located in the city of Sapporo, Hokkaido, Japan, operated by the private railway company Keikyū.",C
"What is the habitat of Succinea tenella, a species of air-breathing land snail?","Succinea tenella can be found in damp and shady terrestrial environments, such as forests and meadows, where it primarily feeds on decaying plant material.","Succinea tenella is commonly found in arid desert regions, where it extracts moisture from cacti and other succulent plants.","Succinea tenella inhabits tropical rainforests, where it resides in the tree canopies and feeds on leaves and fruits.","Succinea tenella can be found in freshwater habitats, such as rivers and lakes, where it feeds on aquatic plants.","Succinea tenella is usually found in the intertidal zone, where it can feed on algae and other marine plants.",A
How is the prime minister of Antigua and Barbuda appointed?,The prime minister of Antigua and Barbuda is appointed by the Governor-General under the terms of the Constitution.,The prime minister of Antigua and Barbuda is selected by a committee of government officials.,The prime minister of Antigua and Barbuda is nominated by a council of local tribal leaders.,The prime minister of Antigua and Barbuda is chosen by the British monarchy.,The prime minister of Antigua and Barbuda is elected by the citizens during a general election.,A
Which province is Lonya Grande District located in?,Utcubamba,Bagua,Luya,Condorcanqui,Chachapoyas,A
"When were the recordings featured on English Freakbeat, Volume 5 originally released?",In the mid-1970s,In the late 1950s,In the mid-1960s,In the early 1960s,In the early 1970s,C
What is the origin of the Barrows Bearhawk Patrol aircraft?,"The Barrows Bearhawk Patrol is a four-seat aircraft that was downsized to accommodate two seats, and designed to meet United States homebuilt aircraft category requirements.","The Barrows Bearhawk Patrol is a four-seat aircraft that was modified to accommodate two seats, and designed to meet United States homebuilt aircraft category requirements.","The Barrows Bearhawk Patrol is a two-seat aircraft that was developed from the four-seat Barrows Bearhawk, and designed to meet United States homebuilt aircraft category requirements.",The Barrows Bearhawk Patrol is a two-seat aircraft that was designed independently from the four-seat Barrows Bearhawk and later modified to meet United States homebuilt aircraft category requirements.,"The Barrows Bearhawk Patrol is a two-seat aircraft that was originally designed to meet United States homebuilt aircraft category requirements, and later developed into the four-seat Barrows Bearhawk.",C
What is one of the major genres in which Rhaisa Gomes Batista has worked?,Romantic comedies,Action films,Biographical dramas,Horror movies,Science fiction thrillers,D
How many players are registered in the Fundación Aborigen Rugby Club?,80 players,30 players,120 players,200 players,150 players,C
What is the average depth of Lake Conway and when was it constructed?,The average depth of Lake Conway is 16 ft and it was constructed in 1948.,The average depth of Lake Conway is 4.5 ft and it was constructed in 1948.,The average depth of Lake Conway is 4.5 ft and it was constructed in 1964.,The average depth of Lake Conway is 16 ft and it was constructed in 1952.,The average depth of Lake Conway is 16 ft and it was constructed in 1964.,A
"What does the term ""D.I."" refer to in the context of the American hardcore punk band D.I.'s debut EP?","""D.I."" is short for ""Double Impact,"" symbolizing the EP's impact on both the punk and hardcore music scenes.","""D.I."" is an eponym for the band itself, representing the EP's self-titled nature.","""D.I."" stands for ""Diverse Identities,"" reflecting the EP's exploration of various musical styles.","""D.I."" is the abbreviation for ""Debut Initiation,"" which signifies the band's first official release.","""D.I."" represents ""Defining Independence,"" highlighting the band's commitment to artistic autonomy.",B
What is Demopolis Town Square?,"Demopolis Town Square is a modern park in Demopolis, Alabama, which was founded in 1817 and covers one city block.","Demopolis Town Square is a historic park in Alabama, known for its vine and olive trees, and was established in 1817.","Demopolis Town Square is a modern public square that was established in 1819, making it one of the oldest public squares in Alabama.","Demopolis Town Square is a popular tourist attraction in Alabama, famous for its Main, Capitol, Walnut, and Washington Streets.","Demopolis Town Square is a historic park in Demopolis, Alabama, which is one of the oldest public squares in the state and was established in 1819.",E
Where did Baroness Olga Vadimovna von Root study music and dance?,She studied music and dance with a Romani family.,She studied music and dance at the Smolny Institute of Noble Maidens in Russia.,She did not receive any formal education in music or dance.,She studied music and dance at a conservatory in Germany.,She studied music and dance at a school in Greece.,B
What is panackelty?,"Panackelty is a traditional Indian curry made with lamb or chicken and a blend of spices, such as turmeric, cumin, and coriander. It is typically served with rice or naan bread.","Panackelty is a type of fermented Korean vegetable dish. It is made by pickling various vegetables, such as napa cabbage, radishes, and cucumbers, in a mixture of salt, water, and seasonings.","Panackelty is a creamy dessert originating from Italy. It is made by layering sweetened whipped cream and crushed cookies, such as ladyfingers or biscotti, and sometimes flavored with liqueurs or fresh fruit.","Panackelty is a traditional beef or lamb casserole popular in the northeast of England, specifically associated with Sunderland and County Durham. It is made by baking corned beef, potatoes, onions, and carrots in a pot on low heat or cooking slowly on a low heat in a pan.","Panackelty is a type of crispy flatbread commonly found in Middle Eastern cuisine. It is made from a combination of flour, water, salt, and sometimes olive oil.",D
What was the name of the liturgical book used by the Church of England during the Elizabethan era?,The First Book of Common Prayer,The 1559 Book of Common Prayer,The Elizabethan Liturgical Book,The 1549 Book of Common Prayer,The Second Book of Common Prayer,B
In what direction is Drumleaning located in relation to Drumburgh?,Drumleaning is located 4 miles east of Drumburgh on a low ridge near the Wampool.,Drumleaning is located 4 miles west of Drumburgh on a low ridge near the Wampool.,Drumleaning is located 4 miles south of Drumburgh on a low ridge near the Wampool.,Drumleaning is located 4 miles northeast of Drumburgh on a low ridge near the Wampool.,Drumleaning is located 4 miles north of Drumburgh on a low ridge near the Wampool.,C
"In which decade was the famous Persian novel Dā'i Jān Napoleon, written by the Iranian writer Iraj Pezeshkzad, published?",1990s,1960s,1950s,1970s,1980s,D
"What genre does the Japanese H-game ""Green Green"" fall under?",Horror,Puzzle,Adventure Novel,Racing,Action,C
What is the method used to illustrate Batman: The Knight?,Watercolor painting technique with abstract lines emphasizing Batman's movements.,Digital 3D rendering combined with a mix of traditional inking and coloring techniques.,Oil painting technique with heavy impasto texture for a dramatic effect.,Hand-drawn ink illustrations with a realistic and gritty style.,Collage art technique using cut-out images from various Batman comic books.,D
"What is YG""MM?","YG""MM is a Thai record label operated by a joint venture between GMM Grammy in Thailand and YG Entertainment from South Korea.","YG""MM is a Thai music festival organized by a joint venture between GMM Grammy in Thailand and YG Entertainment from South Korea.","YG""MM is a Thai record label operated solely by GMM Grammy in Thailand.","YG""MM is a Thai television show produced by YG Entertainment from South Korea.","YG""MM is a Thai restaurant owned by YG Entertainment from South Korea.",A
"What was the critical reception for Dustin Lynch's song ""Mind Reader""?","""Mind Reader"" received widespread acclaim from critics who hailed it as one of the best country songs of the decade.","""Mind Reader"" received negative reviews from critics who criticized its production and lyrics.","""Mind Reader"" received overwhelmingly positive reviews from critics who praised its production and lyrics.","""Mind Reader"" received little to no reviews from critics due to its lack of visibility and popularity.","""Mind Reader"" received mixed reviews from critics divided over the production and lyrics.",E
What percentage of Australia's population identified themselves as having Chinese ancestry at the 2021 census?,8.2%,1.2%,10.7%,5.5%,3.9%,D
What is the key process involved in additive manufacturing or 3D printing?,Addition of layers of material under computer control.,Fusion of layers of material under computer control.,Compression of layers of material under computer control.,Removal of layers of material under computer control.,Bonding of layers of material under computer control.,A
"Which pseudonym was used for the archival Guided by Voices recordings released as an album titled ""In Shop We Build Electric Chairs: Professional Music by Nightwalker 1984–1993""?",Guided by Voices,Shop We Build,Robert Pollard,Electric Chairs,Nightwalker,E
"What is the origin of the name ""Saint-Projet-de-Salers""?","The name ""Saint-Projet-de-Salers"" is derived from the Latin word ""salus,"" which means health, referring to the region's reputation for its healing mineral springs.","The name ""Saint-Projet-de-Salers"" is derived from the Gaelic word ""salers,"" which means warriors, signifying the historical presence of a prestigious warrior tribe in the region.","The name ""Saint-Projet-de-Salers"" is derived from the Old French word ""projet,"" meaning project, reflecting the area's significance as a hub of construction projects in ancient times.","The name ""Saint-Projet-de-Salers"" is derived from the Occitan word ""saler,"" meaning salt, highlighting the historical importance of salt production in the area.","The name ""Saint-Projet-de-Salers"" is derived from the Germanic word ""saler,"" suggesting the Germanic influence on the local culture and traditions.",D
What architectural style is the Benton County National Bank building and what feature hides a dome at the center of the building?,The Benton County National Bank building is a Renaissance Revival structure with a cupola at the center of the building.,The Benton County National Bank building is a Modernist structure with a mural covering a dome at the center of the building.,The Benton County National Bank building is a Victorian style structure with a clock tower at the center of the building.,The Benton County National Bank building is a Gothic Revival structure with a spire at the center of the building.,The Benton County National Bank building is a Classical Revival structure with a parapet obscuring a dome at the center of the building.,E
What is the course of the Lomena River in Lithuania?,"The Lomena River starts in Tartokas, Jonava District Municipality and ends in Vladikiškės, Kaišiadorys District Municipality in Lithuania.","The Lomena River starts in Tartokas, Jonava District Municipality, flows through Vladikiškės, Kaišiadorys District Municipality, and ends in another city in Lithuania.","The Lomena River starts in Vladikiškės, Kaišiadorys District Municipality and ends in Tartokas, Jonava District Municipality in Lithuania.","The Lomena River flows from Tartokas, Jonava District Municipality to Vladikiškės, Kaišiadorys District Municipality in Lithuania.","The Lomena River flows from Vladikiškės, Kaišiadorys District Municipality to Tartokas, Jonava District Municipality in Lithuania.",C
"What is the significance of the aria ""Di quella pira"" in Giuseppe Verdi's opera Il trovatore?","""Di quella pira"" is a aria sung by Manrico in act 3, scene 2, showcasing his determination to rescue Azucena, even at the cost of his life.","""Di quella pira"" is a solo sung by the Count di Luna in act 1, expressing his longing for revenge against Manrico.","""Di quella pira"" is a duet sung by Manrico and Leonora in act 3, scene 2, representing their passionate love for each other.","""Di quella pira"" is a chorus number performed by the townspeople in act 2, symbolizing their unified rebellion against the oppressive regime.","""Di quella pira"" is a quartet sung by Manrico, Leonora, Azucena, and the Count di Luna in the grand finale of the opera, signifying the resolution of their intertwined fates.",A
"What lines the human ear canal, except for the outermost part?",Mucus,Blood vessels,Nerve fibers,Cartilage,Skin and hair follicles,E
"When was the town of Minetto, New York formed?",There is no record of when it was formed.,1982,1863,1950,1916,E
"What does the name ""La Matanza de Acentejo"" mean in Spanish?","The Battle of Acentejo in 1494, won by the Spanish.","The name has no specific historical or military reference, it is purely geographical.","The Battle of Acentejo in 1494, lost by the Spanish.","The Slaughter of Acentejo in 1494, lost by the Spanish.","The Slaughter of Acentejo in 1494, won by the Spanish.",D
"Who were the organizers of the Journey of Reconciliation, a nonviolent direct action to challenge state segregation laws on interstate buses in the Southern United States?","Malcolm X and Angela Davis were the early organizers of the two-week journey that began on April 9, 1947. The participants started their journey in Washington, D.C., traveled as far south as North Carolina, before returning to Washington, D.C.","Bayard Rustin and 18 other men and women were the early organizers of the two-week journey that began on April 9, 1947. The participants started their journey in Washington, D.C., traveled as far south as North Carolina, before returning to Washington, D.C.","Martin Luther King Jr. and Rosa Parks were the early organizers of the two-week journey that began on April 9, 1947. The participants started their journey in Washington, D.C., traveled as far south as North Carolina, before returning to Washington, D.C.","Booker T. Washington and Harriet Tubman were the early organizers of the two-week journey that began on April 9, 1947. The participants started their journey in Washington, D.C., traveled as far south as North Carolina, before returning to Washington, D.C.","Frederick Douglass and Sojourner Truth were the early organizers of the two-week journey that began on April 9, 1947. The participants started their journey in Washington, D.C., traveled as far south as North Carolina, before returning to Washington, D.C.",B
In what countries was the film Lucky Break produced?,The film Lucky Break was produced in the United Kingdom and United States only.,The film Lucky Break was produced in the United States and Germany only.,The film Lucky Break was produced in the United Kingdom and Germany only.,"The film Lucky Break was produced in the United Kingdom, United States, and Germany.",The film Lucky Break was produced in the United States only.,D
What is the term used in biology to describe the rare occurrences of Chlosyne marina butterflies being found in regions outside their typical range?,Adapting,Migrating,Straying,Overwintering,Colonizing,C
"What was the box office performance of the film ""Chattam""?",The film had a moderate performance at the box office and achieved average ticket sales.,The film was a critically acclaimed success but had a poor box office performance.,The film had a limited release and did not have a significant box office performance.,The film was a huge success and broke all box office records.,The film recorded as a flop at the box office.,E
In what countries does Gaetano Manno hold citizenship?,Germany and France,Germany and Spain,Italy and Spain,Germany and Italy,Italy and France,D
"How many students are enrolled in St. Albert's HSS in Kochi, India?",900,1500,1200,2000,1800,E
"How has the municipality of Kauns in Tyrol, Austria been affected by fires?","Fires are a common occurrence in the village, but they have had little impact on the houses.","Despite being prone to fires, most houses in the village have survived the catastrophes.",The village has never been affected by any fires throughout its history.,"Several fires have occurred in the village, causing the destruction of most houses.","Frequent fires have plagued the village, burning down all the houses.",D
Which of the following statements accurately describes the town of Errenteria based on the provided Wikipedia excerpt?,Errenteria is an industrial town known for its manufacturing sector. It is located in the province of Gipuzkoa in the Basque Autonomous Community. The town is situated near the French border and is bisected by the river Oiartzun.,Errenteria is a town known for its historical significance and cultural attractions. It is located in the province of Gipuzkoa in the Basque Autonomous Community. The town is situated near the French border and is traversed by the river Oiartzun.,Errenteria is a town that has been affected by pollution in its lower stage. It is located in the province of Gipuzkoa in the Basque Autonomous Community. The town is situated near the French border and is cut through by the river Oiartzun.,Errenteria is a rural town surrounded by lush green landscapes. It is located in the province of Gipuzkoa in the Basque Autonomous Community. The town is situated near the French border and is bordered by the river Oiartzun.,Errenteria is a coastal town renowned for its pristine beaches and vibrant nightlife. It is located in the province of Gipuzkoa in the Basque Autonomous Community. The town is situated near the French border and is crossed by the river Oiartzun.,C
What is the feast day of Zosimas of Palestine?,Zosimas of Palestine is not commemorated as a Palestinian saint.,Zosimas of Palestine is commemorated as a Palestinian saint on the 22 of January.,Zosimas of Palestine is commemorated as a Palestinian saint on the 4 of April.,Zosimas of Palestine is commemorated as a Palestinian saint on the 15 of September.,Zosimas of Palestine is commemorated as a Palestinian saint on the 1 of May.,C
What distinction did Lillian Herald South Tye have in her medical profession?,"Lillian Herald South Tye was the first female medical professional from Bowling Green, Kentucky.",Lillian Herald South Tye was a pioneer in her work as a bacteriologist and gender equality advocate.,"Lillian Herald South Tye was the first bacteriologist from Bowling Green, Kentucky.",Lillian Herald South Tye was a significant figure in breaking gender barriers for women in her time.,Lillian Herald South Tye was a pioneering American physician who specialized in public health.,D
"What was the primary focus of An-Nibrās, an Arabic-language magazine published in Beirut in 1909 and 1910?","An-Nibrās primarily focused on subscriptions offered to Egypt, the United States, and India.",An-Nibrās primarily focused on religious topics and theological discussions.,An-Nibrās primarily focused on scientific articles and findings.,An-Nibrās primarily focused on political and social criticism.,An-Nibrās primarily focused on literary and historical facts.,D
Which member of the Dodge Brothers is a film critic and BBC television presenter?,None of the above,Mark Kermode,Mike Hammond,Alex Hammond,Aly Hirji,B
What is Thomas M. Blackstock known for?,Leader of a political party,Immigrant from Scotland,Co-founder of a furniture company,Mayor of a city in Wisconsin,Inventor of a groundbreaking manufacturing technique,C
What is the name of the Brazilian football club that Luiz Felipe plays for?,Palmeiras,Corinthians,Santos,São Paulo,Flamengo,C
What is Friedrich Schumann known for?,"Friedrich Schumann was a German serial killer, notorious for the murder of seven people and rape of 11 women.",Friedrich Schumann was a German physicist who made significant contributions to quantum mechanics and the development of atomic theory.,Friedrich Schumann was a German painter renowned for his surrealistic landscapes and use of vibrant colors.,Friedrich Schumann was a German literary scholar who wrote influential critiques of classic German literature.,"Friedrich Schumann was a German composer known for his famous orchestral work, Symphony No. 1 ""Spring"".",A
"What is the main occupation of Bag Raiders, the Australian electronic music duo?",Bag Raiders are known for their skills as vocalists and frequently collaborate with other artists.,Bag Raiders specialize in remixing songs and producing music for various artists.,"Bag Raiders primarily work as DJs, performing live sets at clubs and events.","Bag Raiders are multi-instrumentalists, playing keyboards, drums, guitar, violin, and piano in their music.",Bag Raiders focus on writing and producing their own original music.,B
Where is the Pasquino statue located in Rome?,Piazza Farnese,Piazza della Rotonda,Piazza dell'Esquilino,Piazza Pasquino,Piazza Navona,B
What genre of music is Sultan of the Disco known for?,Heavy metal,Classical,Hip-hop,Jazz,K-pop,E
How many races were held during the 2013 Honda Indy Toronto?,Two,Three,Five,One,Four,A
What color is the Main Line on the NJ Transit system maps?,Purple.,Blue.,Green.,Red.,Yellow.,E
Which divisions were featured in the first regular-season event of the 2023 PFL mixed martial arts tournament?,Middleweight and Heavyweight divisions.,Lightweight and Middleweight divisions.,Bantamweight and Flyweight divisions.,Featherweight and Light Heavyweight divisions.,Lightweight and Welterweight divisions.,D
"What is a notable feature of the Old Stone House in Bath County, Virginia?","The Old Stone House is a two-story, three bay, rectangular brick dwelling with a one-story gallery added in the late-19th century and interior end stone chimneys at each gable end.","The Old Stone House is a one-story, four bay, rectangular stone dwelling with a one-story gallery added in the early-19th century and exterior brick chimneys at each gable end.","The Old Stone House is a two-story, four bay, rectangular stone dwelling with a two-story gallery added in the early-19th century and exterior brick chimneys at each gable end.","The Old Stone House is a one-story, three bay, rectangular stone dwelling with a two-story gallery added in the late-18th century and interior end brick chimneys at each gable end.","The Old Stone House is a two-story, three bay, rectangular stone dwelling with a two-story gallery added in the late-19th century and interior end brick chimneys at each gable end.",E
What is the primary reason behind Vincenzio Vangelisti's suicide?,He committed suicide due to mental health issues and defacing his remaining copper plates.,He committed suicide because he was expelled from the Brera Academy.,He committed suicide due to financial troubles and being unable to support himself.,He committed suicide because he was unable to teach at the School of Engraving.,He committed suicide after failing to find a job as an engraver in Paris.,A
What was Lady Sings the Blues (1956) autobiographical book about?,Lady Sings the Blues is a travelogue recounting Billie Holiday's experiences performing across the globe.,Lady Sings the Blues is a biography of jazz singer Billie Holiday written by a prominent music critic.,"Lady Sings the Blues is an autobiography by jazz singer Billie Holiday, detailing her personal life and struggles in the music industry.",Lady Sings the Blues is a self-help book for aspiring jazz musicians written by Billie Holiday.,Lady Sings the Blues is a fictional novel about a famous jazz singer's rise to fame and fortune.,C
"What was the primary motivation behind the creation of Camel's album, The Single Factor?",A contractual obligation to produce a hit single,A desire to experiment with shorter song compositions,A need to showcase the band's versatility,A challenge to create odd and unconventional songs,A response to fan requests for shorter tracks,A
In which professional football league does Markeith Ambles currently play?,Canadian Premier League (CPL),XFL,National Football League (NFL),Arena Football League (AFL),Canadian Football League (CFL),E
"What was the purpose of the Purchasers of Forfeited Estates, Ireland Act 1702?",The act aimed to establish a new governmental system in Ireland following the forfeiture of Catholic-owned estates.,The act sought to confiscate estates of Protestants in Ireland and redistribute them to Catholics.,The act was part of a series of laws enacted to enforce the Penal Laws against Catholics in Ireland.,The act intended to provide compensation and resolve disputes between Protestant and Catholic landowners in Ireland.,The act aimed to promote religious tolerance and equality among all religious groups in Ireland.,C
What is one of the notable contributions of Thomas Hudson to the music hall tradition?,"Thomas Hudson was known for his exceptional vocal range and ability to perform both comedic and dramatic songs, earning him widespread acclaim in the music hall tradition.","Thomas Hudson was one of the earliest credited songwriters in the music hall tradition, contributing to the development and popularity of comic songs.","Thomas Hudson's songwriting style was characterized by a unique combination of satirical lyrics and catchy melodies, making him a highly influential figure in the music hall tradition.","Thomas Hudson was considered one of the pioneers in incorporating dance routines into his performances, revolutionizing the music hall tradition.","Thomas Hudson was recognized for his innovation in stage design, utilizing elaborate sets and props to enhance his performances in the music hall tradition.",B
Why is the Sandbanks Ferry significant for transport in Dorset?,"The Sandbanks Ferry is the only ferry route in Dorset that connects the coastal parts of Bournemouth and Poole with Swanage and the Isle of Purbeck, serving as a vital link for commuters and tourists.","The Sandbanks Ferry is a famous tourist attraction in Dorset, running from Sandbanks to Studland and providing visitors with a scenic journey across the entrance of Poole Harbour.","The Sandbanks Ferry is a vehicular chain ferry connecting the towns of Bournemouth and Poole with Swanage and the Isle of Purbeck, providing a faster and more convenient means of transportation compared to a 25-mile journey by road.","The Sandbanks Ferry is the longest chain ferry in England, connecting the towns of Bournemouth and Poole with Swanage and the Isle of Purbeck over a distance of 25 miles.","The Sandbanks Ferry is the cheapest mode of transportation in Dorset, offering an affordable alternative to the expensive road trips between Bournemouth and Poole with Swanage and the Isle of Purbeck.",C
